sentence,image
Do you think many of the circles are blue?,201.jpg
Do you think many of the circles are blue?,202.jpg
Do you think few of the circles are blue?,203.jpg
Do you think few of the circles are blue?,204.jpg
Do you think many of the circles are yellow?,201801.jpg
Do you think many of the circles are yellow?,201802.jpg
Do you think few of the circles are yellow?,201803.jpg
Do you think few of the circles are yellow?,201804.jpg
Do you think many of the circles are blue?,301.jpg
Do you think many of the circles are blue?,302.jpg
Do you think few of the circles are blue?,303.jpg
Do you think few of the circles are blue?,304.jpg
Do you think many of the circles are yellow?,301802.jpg
Do you think many of the circles are yellow?,301803.jpg
Do you think few of the circles are yellow?,301804.jpg
Do you think few of the circles are yellow?,301801.jpg
Do you think many of the circles are blue?,401.jpg
Do you think many of the circles are blue?,402.png
Do you think few of the circles are blue?,403.png
Do you think few of the circles are blue?,404.png
Do you think many of the circles are yellow?,401801.jpg
Do you think many of the circles are yellow?,401802.png
Do you think few of the circles are yellow?,401803.png
Do you think few of the circles are yellow?,401804.png
Do you think many of the circles are blue?,501.png
Do you think many of the circles are blue?,502.png
Do you think few of the circles are blue?,503.png
Do you think few of the circles are blue?,504.png
Do you think many of the circles are yellow?,501801.png
Do you think many of the circles are yellow?,501802.png
Do you think few of the circles are yellow?,501803.png
Do you think few of the circles are yellow?,501804.png
Do you think many of the circles are blue?,601.png
Do you think many of the circles are blue?,602.png
Do you think few of the circles are blue?,603.png
Do you think few of the circles are blue?,604.png
Do you think many of the circles are yellow?,601801.png
Do you think many of the circles are yellow?,601802.png
Do you think few of the circles are yellow?,601803.png
Do you think few of the circles are yellow?,601804.png
Do you think many of the circles are blue?,701.png
Do you think many of the circles are blue?,702.png
Do you think few of the circles are blue?,703.png
Do you think few of the circles are blue?,704.png
Do you think many of the circles are yellow?,701801.png
Do you think many of the circles are yellow?,701802.png
Do you think few of the circles are yellow?,701803.png
Do you think few of the circles are yellow?,701804.png
Do you think many of the circles are blue?,801.png
Do you think many of the circles are blue?,802.png
Do you think few of the circles are blue?,803.png
Do you think few of the circles are blue?,804.png
Do you think many of the circles are yellow?,801801.png
Do you think many of the circles are yellow?,801802.png
Do you think few of the circles are yellow?,801803.png
Do you think few of the circles are yellow?,801804.png
Do you think all of the circles are blue?,1001801.png
Do you think all of the circles are yellow?,1001802.png
Do you think all of the circles are blue?,1001803.png
Do you think all of the circles are yellow?,1002703.png
Do you think none of the circles are blue?,1001.png
Do you think none of the circles are yellow?,1002.png
Do you think none of the circles are blue?,1003.png
Do you think none of the circles are yellow?,100903.png
