Color,Proportion of Color,Quantifier,image,question,Participant1Response,Participant2Response,Did1and2Agree,attentionCheck
Yellow,20,Few,801.png,Do you think few of the circles are yellow?,"Yes, I think few of the circles are yellow.","I agree, I think few of the circles are yellow.",Y,Y
Yellow,20,Few,80901.png,Do you think few of the circles are yellow?,"Yes, I think few of the circles are yellow.","I agree, I think few of the circles are yellow.",Y,N
Yellow,20,Few,801801.png,Do you think few of the circles are yellow?,"Yes, I think few of the circles are yellow.","I agree, I think few of the circles are yellow.",Y,N
Yellow,20,Few,802701.png,Do you think few of the circles are yellow?,"Yes, I think few of the circles are yellow.","I agree, I think few of the circles are yellow.",Y,N
Yellow,40,Few,601.png,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I disagree, I think few of the circles are yellow.",N,N
Yellow,40,Few,60901.png,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I disagree, I think few of the circles are yellow.",N,N
Yellow,40,Few,601801.png,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I disagree, I think few of the circles are yellow.",N,Y
Yellow,40,Few,602701.png,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I disagree, I think few of the circles are yellow.",N,N
Yellow,60,Few,401.jpg,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I agree, I don’t think few of the circles are yellow.",Y,N
Yellow,60,Few,40901.jpg,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I agree, I don’t think few of the circles are yellow.",Y,N
Yellow,60,Few,401801.jpg,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I agree, I don’t think few of the circles are yellow.",Y,N
Yellow,60,Few,402701.jpg,Do you think few of the circles are yellow?,"No, I don’t think few of the circles are yellow.","I agree, I don’t think few of the circles are yellow.",Y,N
Blue,20,Few,202.jpg,Do you think few of the circles are blue?,"Yes, I think few of the circles are blue.","I agree, I think few of the circles are blue.",Y,N
Blue,20,Few,20902.jpg,Do you think few of the circles are blue?,"Yes, I think few of the circles are blue.","I agree, I think few of the circles are blue.",Y,Y
Blue,20,Few,201802.jpg,Do you think few of the circles are blue?,"Yes, I think few of the circles are blue.","I agree, I think few of the circles are blue.",Y,N
Blue,20,Few,202702.jpg,Do you think few of the circles are blue?,"Yes, I think few of the circles are blue.","I agree, I think few of the circles are blue.",Y,N
Blue,40,Few,402.png,Do you think few of the circles are blue?,"No, I don’t think few of the circles are blue.","I disagree, I think few of the circles are blue.",N,N
Blue,40,Few,40902.png,Do you think few of the circles are blue?,"No, I don’t think few of the circles are blue.","I disagree, I think few of the circles are blue.",N,N
Blue,40,Few,402702.png,Do you think few of the circles are blue?,"No, I don’t think few of the circles are blue.","I disagree, I think few of the circles are blue.",N,N
